experimento_id,modelo_nombre,fecha_hora,hiperparametros,arquitectura,tiempo_entrenamiento_seg,precision_train,recall_train,f1_train,accuracy_train,precision_test,recall_test,f1_test,accuracy_test
RF_01,RandomForest,2026-06-30 03:00:44,"{'n_estimators': 50, 'max_depth': 1, 'min_samples_leaf': 2, 'max_features': 1, 'criterion': 'entropy'}",Bosque 100 estimadores,0.2325,0.5466,0.6634,0.5962,0.7897,0.5518,0.6591,0.5967,0.79
RF_02,RandomForest,2026-06-30 03:00:45,"{'n_estimators': 100, 'max_depth': 1, 'min_samples_leaf': 2, 'max_features': 7, 'criterion': 'entropy'}",Bosque profundidad 1,0.3371,0.5405,0.6601,0.592,0.7854,0.559,0.6574,0.5978,0.79
RF_03,RandomForest,2026-06-30 03:00:45,"{'n_estimators': 8, 'max_depth': 2, 'min_samples_leaf': 1, 'max_features': 1, 'criterion': 'entropy'}",Bosque profundidad 1,0.0623,0.9646,0.9592,0.9617,0.9657,0.9585,0.953,0.9543,0.95
RF_04,RandomForest,2026-06-30 03:00:45,"{'n_estimators': 10, 'max_depth': 2, 'min_samples_leaf': 1, 'max_features': 10, 'criterion': 'entropy'}",Bosque pequeño (5 est),0.0691,0.9489,0.9489,0.9489,0.9571,0.9607,0.9665,0.9633,0.97
RF_05,RandomForest,2026-06-30 03:00:45,"{'n_estimators': 15, 'max_depth': 1, 'min_samples_leaf': 2, 'max_features': 2, 'criterion': 'gini'}",Bosque pequeño (15 est),0.1333,0.5466,0.6634,0.5962,0.7897,0.5625,0.6667,0.6049,0.8
XGB_01,XGBoost,2026-06-30 03:00:45,"{'n_estimators': 55, 'max_depth': 2, 'learning_rate': 0.01, 'subsample': 0.5, 'colsample_bytree': 0.7, 'reg_lambda': 0.5}",XGB depth 4,0.1651,0.9844,0.9653,0.9737,0.9785,0.966,0.9167,0.9345,0.95
XGB_02,XGBoost,2026-06-30 03:00:46,"{'n_estimators': 5, 'max_depth': 1, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 5 est,0.1124,0.8933,0.7219,0.7086,0.824,0.8958,0.6963,0.6964,0.8
XGB_03,XGBoost,2026-06-30 03:00:46,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 100 est,0.1361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_04,XGBoost,2026-06-30 03:00:46,"{'n_estimators': 2, 'max_depth': 1, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 10 est - profundo,0.1035,0.5448,0.6594,0.5931,0.7854,0.549,0.6296,0.5756,0.76
XGB_05,XGBoost,2026-06-30 03:00:46,"{'n_estimators': 4, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 5 est - profundidad media,0.0191,0.1459,0.3333,0.203,0.4378,0.1467,0.3333,0.2037,0.44
XGB_06,XGBoost,2026-06-30 03:00:48,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 200 est - profundo,1.4129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NN_01,NeuralNetwork,2026-06-30 03:00:55,"{'lr': 0.001, 'epochs': 3, 'batch': 5}","[64,relu,do0.2,32,relu,softmax]",5.797,0.1459,0.3333,0.203,0.4378,0.1467,0.3333,0.2037,0.44
NN_02,NeuralNetwork,2026-06-30 03:01:06,"{'lr': 0.001, 'epochs': 25, 'batch': 25}","[128,relu,do0.3,64,relu,do0.2,32,relu,softmax]",8.8609,0.913,0.75,0.75,0.8455,0.9195,0.7667,0.7748,0.86
NN_03,NeuralNetwork,2026-06-30 03:01:13,"{'lr': 0.0005, 'epochs': 25, 'batch': 16}","[64,tanh,do0.2,32,tanh,softmax]",6.8798,1.0,1.0,1.0,1.0,0.9841,0.9924,0.988,0.99
NN_04,NeuralNetwork,2026-06-30 03:01:15,"{'lr': 0.0005, 'epochs': 10, 'batch': 16}","[64,tanh,do0.2,32,tanh,softmax]",1.759,0.3445,0.3693,0.3513,0.4034,0.3164,0.3636,0.3319,0.4
NN_05,NeuralNetwork,2026-06-30 03:01:20,"{'lr': 0.0005, 'epochs': 25, 'batch': 16}","[10,tanh,do0.2,10,tanh,softmax]",3.9674,0.9344,0.8264,0.8462,0.8927,0.9487,0.8667,0.8889,0.92
NN_06,NeuralNetwork,2026-06-30 03:01:23,"{'lr': 0.0005, 'epochs': 25, 'batch': 16}","[10,relu,do0.2,15,tanh,softmax]",2.914,0.9348,0.9318,0.9332,0.9442,0.9676,0.9591,0.9631,0.97
NN_07,NeuralNetwork,2026-06-30 03:01:25,"{'lr': 0.001, 'epochs': 10, 'batch': 10}","[256,relu,do0.4,128,relu,do0.3,64,relu,do0.2,softmax]",2.2542,0.486,0.5028,0.4543,0.618,0.4668,0.4646,0.4144,0.58
ENS_MAJORITY,Ensemble_Majority,2026-06-30 03:08:07,"{'bootstrap': True, 'n_models': 3}",Majority Voting (Bootstrap),0.754,0.9375,0.8893,0.9056,0.927,0.9434,0.8574,0.881,0.91
ENS_WEIGHTED,Ensemble_Weighted,2026-06-30 03:08:09,"{'noise_std': 0.02, 'weights': [np.float64(0.3673), np.float64(0.2655), np.float64(0.3672)]}",Weighted Majority Vote + Jittering,0.9304,0.9443,0.8856,0.9042,0.927,0.9304,0.8741,0.8923,0.92
ENS_WEIGHTED,Ensemble_Weighted,2026-06-30 03:08:15,"{'noise_std': 0.02, 'weights': [np.float64(0.3673), np.float64(0.2655), np.float64(0.3672)]}",Weighted Majority Vote + Jittering,0.5798,0.9755,0.9763,0.9759,0.9785,0.9841,0.9907,0.9872,0.99
ENS_MAJORITY,Ensemble_Majority,2026-06-30 03:12:25,"{'bootstrap': True, 'n_models': 3}",Majority Voting (Bootstrap),0.5836,0.9844,0.9653,0.9737,0.9785,0.9926,0.9833,0.9877,0.99
ENS_WEIGHTED,Ensemble_Weighted,2026-06-30 03:12:29,"{'noise_std': 0.02, 'weights': [np.float64(0.3367), np.float64(0.3266), np.float64(0.3366)]}",Weighted Majority Vote + Jittering,1.2942,0.9874,0.9722,0.9791,0.9828,1.0,1.0,1.0,1.0
XGB_01,XGBoost,2026-06-30 03:24:31,"{'n_estimators': 54, 'max_depth': 2, 'learning_rate': 0.01, 'subsample': 0.5, 'colsample_bytree': 0.7, 'reg_lambda': 0.5}",XGB depth 4,1.0437,0.9815,0.9583,0.9683,0.9742,0.9542,0.8833,0.9047,0.93
XGB_02,XGBoost,2026-06-30 03:24:31,"{'n_estimators': 5, 'max_depth': 1, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 5 est,0.2967,0.8933,0.7219,0.7086,0.824,0.8958,0.6963,0.6964,0.8
XGB_03,XGBoost,2026-06-30 03:24:31,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 0.5}",XGB 100 est,0.318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
